Post,Intensity
目的是减负的话感觉这个没啥用，最后空出来的时间都去上补习班了每次提出的建议可不可以先亲自到一线实践一个月啊，不然好没意义，减负喊了十几年了吧，内卷反而还越来越严重了? ,1
“家庭作业”四个字前面两个字是啥？？？我没看错吧？校内完成可以，要不全国寄宿吧另外教师都单身得了，不配有家庭，不配有管自己孩子? ,1
没人强迫你必须提建议来证明自己的脑瘫? ,1
感觉目前大多数教育改革的提案都治标不治本，乱改一通，搞得底下的基层老师和学生家长更是抓狂！现阶段说什么减负、不留作业，在现在这个大环境中就是不切实际！还请领导们多下去走走看看吧，多体会体会基层老师和家长的难处，不要再提这种一点帮助都没有的提案了。（都2021年了，rddb还寄希望于喊一喊减负的口号来解决教育问题，有些气愤！）???收起全文d ,1
我莫名的就想说说你你这个代表了。老师就应该服务到学生？那老师的家庭不用管了？你这是降低老师的地位吧？然后呢？教育改革不说自己的改革问题。? ,1
懂了，老师不是人，老师是奴隶是社会底层劳动力。怪不得是个人都比当老师挣得多? ,1
代表啥时候能为人民教师着想一下，不能把教师当机器用吧，教师你以为下午放学就完事了，要备课，批改作业，要学习，要了解学生，要与家长沟通，要处理各种大大小小的琐事，全班50多人，你以为一对一家教呢？等等，你以为老师的工作性质真的早九晚五?合着老师没有家人，老师没有孩子，老师没有父母?也不能道德绑架吧，微博一群说人民教师就该如此，不愿意就辞职的话?合着我们就是牛，吃的是草，挤的是奶?如果教师这样跟着连轴转，长期下来教育质量能提高吗?，教育质量能得到保障吗?(意味着教师自己学习的时间少了，了解学生差异的时间少了，教研的时间少了)，一群门外汉，以为教师是想象中轻松高工资的职业。2大冶市收起全文d ,1
你家没孩子吗？这么奇葩的提议。别的不说，放学安全吗？作业量怎么把控？万一孩子是整个家顶梁柱，也要写完再照顾家里人？万一存在霸凌逼着你帮他们做，被欺负的岂不是得睡在学校？整个网校，就没考虑过不是所有人都能念得起的！连信号没有！代表不调查30个省市不掌握样本数就不要开口了。显摆你优越感怎么的？我们这一个孩子妈妈说不敢给老师怼回去，孩子爸爸就说那有啥不敢的。呵，家长会有几个爸爸去的能听懂的。不当家不知柴米贵！下凡看看民生吧。。收起全文d ,1
脑子不好使了吗？！现在本来就有很多问题家长，这是鼓励更多家长做甩手掌柜吗？教师没有孩子没有家庭吗？课后服务出现安全责任谁承担？考虑地区差异了吗？没记错的话东北地区由于天气原因中午不回家，一直上到3点多开始放学，就算是课后服务估计也只到5点多，而这是有些地方的正常放学时间，动动嘴皮子真容易！标题中还带着俺大学母校，可别给招黑了收起全文d ,1
有些人的脑回路就很奇特，你还不如大大方方的承认你嫉妒教师的假期。凭啥教师有假期？那是拿命换的呀要是不放假，不是学生疯了就是老师疯了。我就问问你现在哪个老师是身体健康的？你知道啥啊你就在那假期长假期短假期一平均到平常教师就朝九晚五了，你咋不试? ,1
这提议把我整笑了又想给家长减负，家长又想要成绩又想给老师增负，又给老师那么点工资你咋不上天呢？想的那么美？提不出来东西就别提了所以老师都没有家老师干脆天天睡学校得了? ,1
现在检查一堆，压榨老师的上课时间，怎么不管管呢，成天就为了什么鬼检查做电脑活，浪费时间时间，有本事就聘请专门的电脑老师，专门负各项检查吧，检查作业的app是老师搞出来的吗，还不是你们要求的，站着说话不腰疼，关老师什么事(゜ロ゜)，横竖都是老师被骂? ,1
这位校长你自己不觉得亏心吗？你们资源优质的学校说出这种话的时候有把乡镇学校的学生当人吗?乡镇学校的资源本就不如城里，凭什么要求所有学校都一样?让学生在学校完成作业不就是让乡镇缩减作业量吗?目前填鸭式教育才能让底层的人爬上来，如果缩减作业量，有些人可以去找机构补，那其他贫困家庭呢，他们还有机会出头吗wcnm这位校长给爷爬收起全文d ,1
老师没有自己的家庭吗？每天工作十几个小时身体受得了吗？孩子每天上学十几个小时，怕是厌学的要更多吧？? ,1
之前先是老师不能让家长“检查”，之后又看到不能用“手机”布置作业，现在还想在学校内完成“家庭”作业，真的是闲得慌想出来的吧，真的考虑过全国各地各校各种学生的现况吗？就只会说? ,1
八点做不完也在学校待着？为了早点结束不布置作业，为了成绩家长再想办法补习，这是给谁制造焦虑？? ,1
你不如建议孩子生下来就丢给老师呢骂老师的是你们，要求老师做这做那也是你们每次看社交平台大多数都把老师骂的狗血淋头每次老师稍微吐槽一下工资就拿寒暑假说事天，老师不是人，不要调养身体和嗓子吗？你天天处于生气状态，高度集中的状态气进手术室的福气你要不要收起全文d ,1
那还叫家庭作业嘛？叫课堂作业不好嘛？！！！非得让在学校完成，给学生减负减负，那就直接不留家庭作业，只是最后请家长，领导，社会别问教师要成绩！！！? ,1
我们中国的教育系统也是世界奇葩。让整个社会的价值导向变得扭曲。这个世界最廉价的是空气和水，最被歧视的工作是环卫建筑和服务行业? ,1
就想着减轻父母的压力，那谁来减轻老师的压力？写不完还要不要放学？老师几点下班？安全责任谁负责？老师也只是一份职业，谁都是为了赚钱养家，别搞什么情怀素质道德绑架。? ,1
真的服了，每次下面只要一有老师评论自己辛苦，就有一大堆自以为是的人在下面各种说老师就这种素质，觉得老师多轻松多轻松，公立学校英语老师一枚，一个星期英语课连着早读40多节，晚辅最晚到晚上11.30，早读每天早起6.50周末是什么东西，我自从来了这里就不知道了那么多风凉话的，问怎么不辞职的？辞职有那么容易吗？都是打工人，就不能互相体谅一下吗？真的没有把老师当人嘛？收起全文d ,1
别扯了，现在的小孩就没有课间了，在校完成家庭作业，那叫什么家庭作业？？？老师怎么办？真就蜡烛呗，5毛一根用20年? ,1
我们学校领导，让课上把作业写了，一节课45分钟，复习上节课的，讲新课，还要留时间写作业，还要求成绩。还不让布置背诵的作业，每周就两节课，呵呵。成绩能提上去才怪。? ,1
现在真是邪门了，减负真是笑死人，中学生有不在课外班补课的吗？越减负学生越累，放学后和周末全都搭进课外班了，家长的钱都贡献给培训机构了，我就不信教育部不了解情况，你要解决机构的就业问题就直说，别误导孩子快乐教育。? ,1
呵呵，学生是人，教师可不是? 真好,1
呵呵呵所以辞职的教师、猝死的教师越来越多，学生是人，教师可不是。? ,1
想方设法提高生育率，越来越可笑了。牺牲一个职业，企图换来所有父母的快乐安心？这样就会有更多人愿意养育孩子了？生育率低最根本的问题是什么？看不清吗？? ,1
是有病吗还不如先改改中高考现在哪个初三高三的作业不是多的要命，不仅要写作业，还要补别的知识晚自习还要收费提建议的人是没感受过吗? ,1
学生家长都是人，老师不是没有家庭没有孩子，不需要休息，从0点到24点不间断工作? ,1
家庭作业不就是让孩子自己在家做吗自己完成之后然后等到第二天和同学进行“辩论 大赛”由老师对不会的问题答疑解惑锻炼了学生自己的独立思考能力这样不好吗说实在的现在都提的啥建议? ,1
我在看：【很有可能就会变成，老师给家长打电话：喂，XXX家长啊，你家孩子怎】O很有可能就会变成，老师给家长打电话：喂，XXX家长啊，你家孩子怎么回事？人家作业都能在校内完成，你家孩子为什么就是不好好做作业呢？回去好好教教，我们班级要评比的，不能因为你家孩子影响整个集体,1
O网页链接1、教育界的提案，看来有不少出发点就好的好提案。整体来说，很多让大家都叫好的提案，正是对现在一些民愤比较大的方案的“反馈”，从内容上来说，就是往三十年前回归，恰恰说明三十年前的很多东西，没有错，反而很有价值，我期待着恢复中小学通过竞争性考试升学制度回归的那一天。2、让学生在校内完成家庭作业，对大多数家庭来说，是好事。老师与学生，老师与家长，应该恢复到过去那种尊师重教的伦理结构下面去，老师要求家长了解并重视学生的课业，应该完全可以有更加直接的表达资格，在若干年前，老师在学生的管教上的权威为家长所尊重，哪像现在。。3、如果需要恢复过去的那种“课后补习制度”，客观上要延长老师们的工作时间，客观上要求公共交通调整时间，客观上要求家长们调整送迎时间，不仅仅需要恢复过去的交补习费费用，还要社会有极大的调整以配合，过去的经验，放在今天，因为人类聚集形态的变化，毕竟不再适用。4、恢复交补习费的习惯，没有什么坏处，客观上比较明显的提高老师们的收入，让老师这个阶层生活的更加体面，也可以让他们在家中的地位上升，从而可以改变家庭内分工，来适应课时安排的变化。5、现在说关键的，这些改变的前提，要求整个社会重新回归到低生活成本时代。一切的乱像，是高成本搞乱了一切，高成本从何而来，需要仔细考虑。。收起全文d,1
虽然不太现实但是作业太多怎么可能在校内完成啊? ,1
这样教师的工作时间也太长了吧翻转课堂不好吗？? ,1
" 学生难道不是人？学生连某些工厂的工人都不如, 病毒是长眼睛了吗？专门针对学生吗？ 学校当自己是开猪圈的吗？把学生当猪圈起来养？ ?",1
就离谱，基础设施不完善，不为学生的学习生活考虑，却一味的搞封闭式管理还只封学生，怎么只有学生拿肺呼吸？都现在了还一门心思的降热度不想着解决。唉，想想还是我的学校好哦 ?,1
真就当大学生SB呗，没权没势没人权，一群年轻人关在一起，搁这养蛊呢？养出点什么新病毒来？ ?,0.979
这一裤裆斯文扫地啊，监考的不严谨、泄题的二百五、举报的真小人，这是什么高等学府啊，一地鸡毛 ?,0.958
江苏为什么总发布这些sb的教育规定？高考政策跟放屁一样想改就改。还不能用手机布置作业？什么年代了？老师不容易，家长不容易，学生更是被折腾，只有一群砖家跟个专家一样发布指令。 ?,0.938
端起碗吃饭放下碗骂娘？这个举报的敢不敢站出来实名说自己就是举报人？ ?,0.938
学法的干这种反手举报的事，这种人进了人大硕士再出来，那不就是个人渣吗？ ?,0.938
要不就干脆放假上网课，要不就解封学校，搞些形式主义没意思，全世界只有大学生有肺？教职工随意出入都可，封校封了个寂寞？ ?,0.938
 真的看吐了，用监狱级的铁丝网挡学生就够他妈魔幻，希望那些高高在上的垃圾好好看看自己在干什么,0.938
教育局的人脸红吗？敢情那些作业打卡app是老师研发出来让学生下载的呗？？？还好意思出政策，先去看看你们的脑子吧 ?,0.938
绝了……想让人死就直说，哪个害人精 ?,0.917
这真的离谱，多少人踩着前人的肩膀站了起来，怎么你站起来了就捅别人一刀？？？ ?,0.917
复试不是一人一题，随机发问吗？？举报的人图啥？？考研考到都没人性了？？400多分，得是多少个日日夜夜的辛苦，轻飘飘地就被毁了。太恶心了，太恶心了。 ?,0.917
杀伐果断残忍至极的学校，令人窒息。举报的人是恶心至极的ren喳吧 ?,0.917
学校偏僻，所以西安这些学校的职工都是从隔壁村子随便找的？隔壁西电，门卫满嘴官话实际怠惰工作，保洁在图书馆大声唠嗑，合着招职工没有限制应聘即上岗？西外职工都敢拖行女生了，原来职工素质低不是我校特例啊西安高校，你有事吗？ ?,0.917
鸭子，举报的这个人太恶心了太恶心了，呕呕呕，竟然有这么恶心的人，拿到了别人的好处反手捅别人一刀，毁了好多人辛苦的成绩，有三战也有四战的考生，就这样被一个举报给毁了，太恶心了 ?,0.917
有一说一，题目一点没少看就憋坏不说话然后等着举报的，真不知道是什么样的毒虫 ?,0.915
好贱呐！没错我说的就是举报者！你晚上睡得着觉么。狗屁规则意识，说得好像大家私底下都遵守的样子，冠冕堂皇的话大家都会说（让我自动代入图书馆一个男的丑恶嘴脸，就会举报举报！） ?,0.896
 牺牲复试完但没透题的同学的利益，去“好心”帮助后面的考生？先不讲举报人的人品如何，违反规定是事实啊。承诺书都是本人签的，这点规则意识都没有，未来怎么执法啊？靠伦理道德和圣母心吗？ ?,0.896
 天津外国语封只封大学生就离谱，是说就大学生是病毒携带者吗？有本事把教职工一块封闭，每次开假条还得找时间一起交还得等辅导员一起批，每次出去还得写回来的时间，我还没有牛逼到掐着点出去掐着点回来，生病的还得是算着秒数看病？校领导看过病吗？买药排队看病是可以估计出时间的吗？食堂物价这么贵，守着市中心不能出去，这算个屁大学生活 收起全文d,0.896
 考生泄题该惩罚和人大处理不合理和举报者很恶心这三者并不冲突啊。都成年了，还搞非黑即白这一套，上来就逼逼赖赖，咋不见你客观批评一下人大呢 ?,0.896
所以建议：为了我国长治久安，建议立“专家法”！不能再让那些打着“专家”旗号的人，招摇撞骗扰乱中国社会秩序了！也不能再让那些不从实际出发，却拿着高额俸禄的“专家”干有损于国家利益和百姓利益的事儿了！中国企业财经 O建议：专家要对自己说过的话负法律责任！ 收起全文d,0.894
学生的人权呢 学生用肺呼吸教职工用腮呼吸吗！ ?,0.875
  大早上气的睡不着  怎么会有这种得了便宜还卖乖的人啊 良心喂狗了？ ?,0.875
我们不去追究问题出在哪里，而去追究提出问题的人？看评论就知道大学考试作弊那么多有原因了，呵呵。 ?,0.875
 就离谱！离谱离谱！这举报者我真是吐了，分享题目确实不对，可是这惩罚是否过分了？能不能把问题目的人也一并处置了啊？真是害人不浅，替这些被判零分的同学感到寒心。 做人啊，还是冷漠一点好 ?,0.875
为什么教职工甚至宿管的孙子都可以随意进出？小学生遍地跑，大学生出不去？现在超市都关门了，还不让人出去？真要把人逼死吗？ ?,0.875
 贵校的不要脸程度脑瘫程度恶心程度智障程度聋瞎程度是路过的蚂蚁都要说一句西八的程度捏人家城里的学校早就解封了，西外地处大学城边边缘 最近的邻居可能是老鼠子吧 或许坚持封校是为了建立我们跨种族的友谊嘛 妈的事实是老鼠都看不上你这一亩三分地 ?,0.875
老师就算挨个写在学生手上，也有小皇帝们八皮搓掉！！ ?,0.875
为什么只封闭管理学生？为什么校内物价高的离谱？一个苹果3.7r？大超因为卖过期商品停业关门我们去哪里买日用品？学校哪怕有一点站在学生的立场上考虑过吗？ ?,0.875
什么叫经验，什么叫泄题。什么叫人血馒头。 ?,0.875
举报的人是挺阴的但除此之外确实也没法说什么，学校规矩立在那里了，别人举报到眼前了，让学校装死现实吗 ?,0.872
  领导们脑子都进水了吗？  一天到晚装模作样的封校管理  国庆中秋放假一天  这么损害学生权益的事搞得这么正大光明， ?,0.87
除了本校生和家长外可以随意进出的交通工具真的很恶心。学生的自行车都不让进大学。这是大学吗？这是高中吧？ ?,0.867
真替你们脸红啊，还好意思出政策，下基层好好听听教师和家长们的意见吧，别一张口就出没脑子的政策，少给老师布置些形式主义的任务了，少研发些无用的app，家长们也谢谢你们了。 ?,0.854
这能说活该。在“我”这样没有看过题目的人来说，泄题者和看过题的人是在联合作弊！这是根本不公平的！考研人是辛苦，值得尊重，但泄题就是泄题，复试规则白纸黑字写明的，不能“以弱欺人”，这样不把泄密看在眼里，进了实验室，岂不是能把里面的秘密分享给其他“辛苦”的研究生？ 收起全文d,0.854
自己给自己挖坑，不要忘了，复试群都是自己的竞争对手，不举报你举报谁，真是缺脑子。还泄题到复试群，真是服了 ?,0.854
 找的那是安保吗？那是村外找的悍妇吧！你敢把男生动一下？拉着人家女生在地上拖行，真是给你脸呢 ?,0.854
srds，还是要来一句举报的人真的恶毒，有本事就当场制止不看题啊，看了题还反手来个举报，真有你的。人大为什么不采取一人一题制？抽取不放回不就行了。每个复试0分的背后可是一个学子的前途和命运啊！只能叹一句惋惜。 ?,0.854
确实挺吓人的，这么一弄，复试交流群连夜解散，法考还有学生敢帮老师回忆真题么 ?,0.854
谁能破解中国银行原油宝惨案？？？中国银行必败！人民正义必胜！中国银行不但践踏法律！！！更是突破道德底线！！有损国有银行形象！！！狗?也不能无耻到这种地步吧！！！！！！！！中行原油宝 ?,0.854
 你们对人大复试泄题怎么看？ 复试成绩为0，努力全白费了？ ???,0.854
 很多人都在同情，说什么多个心眼这种屁话，事实是，本来就不该说啊！你考完就考完了，闭嘴就完了，这么简单的事做不到？你等考完再去分享做不到？人家已经提前跟你说好，让你闭嘴，都签了保密协议，你自己还往枪口上撞，这不是活该是什么？如果这都不严惩，那保密协议有个屁用！ 收起全文d,0.848
举报人挺可怕的～～～然后就是他的题库就这么点吗？反复用？？？ ?,0.848
举报者可以去死一死吗？分享者是违反了相关规则没错，但是举报者才是更该死的人。这种人让他继续学法律大家不会觉得可怕吗？22考研的法学人现在内心真的非常无语 ?,0.848
利用规则，毁人前途这举报人要是上岸了，哪天不反手把导师举报了？ ?,0.848
脑子长在屁股上了吧……都叫家庭作业了还要在学校完成？? ,0.833
不知各种代表他妈从哪来的，谁选的，又他妈代表着谁。? ,0.833
这几天因为作业真想骂人，我家孩子小学六年级，早上七点半出门上学，中午学校延时不回家，晚上还是延时到五点半放学。晚上到家吃完饭写作业，还得忙乎到十一二点。是不是要熬死人啊? ,0.833
我不知道为什么幼儿园的小朋友（不对，应该是说幼儿园小朋友的家长）作业会这么多，且不说清明不等于全国人民都待在家闭门不出闲得＊＊，家长送小朋友去幼儿园是为了让自己每天晚上做手工作业做到凌晨2点，然后第二天7点起床去上班？小学生在校写完作业这种事情发在10年前姑且能看到，现在幼儿园小朋友家长也已经被小班作业压到焦头烂额了，真好！！！内卷从小班开始，真好！！！@昌吉州教育局@昌吉市教育局@中国新闻网收起全文d ,0.833
家庭作业在校内完成还叫什么家庭作业，不如吃饭睡觉也在校内完成算了！要不就生下来让国家统一给你养到20岁？? ,0.833
这两条简直在放屁出政策的人要不你来实施吧，这些作业打卡app是我们老师研发出来让学生下载的吗？还好意思出政策，你们是活在什么理想世界吗？布置一堆形式主义的任务，还要求老师限时完成，家长嫌老师烦，领导嫌老师慢，还不允许抱怨，一抱怨就说，这不就是你们的工作吗，我真是了。我可不是神，我上班也是为了生活，对待课堂我一心一意付出没问题，作业我从来没让家长批改过，都是我自己判。但这些无语事情，就是不让用手机留作业，那也规定老师下班后禁止领导用手机发布工作任务，禁止家长60s语音攻击，这样才公平吧。我们也不想建群，手机留作业都是学生和家长建议的，我还觉得口头留作业省事呢，可是呢，他们记得住吗，恨不得还没出校门就忘了。21世纪了，几乎每个人都依赖网络和电子产品，学生记忆力和专注力都下降，一件事情说十遍才能记住。别总说以前为什么没群也能留作业，以前放学回家有手机吗，有电脑有ipad吗，有各种各样玩的东西分心吗，评论里一群sb在那说老师不负责，随便坐坐讲讲课就拿工资了，qnmd吧。微博评论区里是全国优秀教师最多的地方了最大的问题不是老师也不是学生，是一群不懂教育还在那瞎指挥的sb们收起全文d ,0.833
害，话说回来了，老师家长各有难处各自争吵，作为课后延时服务对象的孩子们才是最惨的吧小小年纪，早上7:30早读，6:30就得起床了。中午学校桌上趴着午休，晚上还要在学校待到6：30。这不比上班惨吗？？还tm没工资领啊。? ,0.833
我建议让代表全部换人，都是些什么人呀? ,0.833
代表重新上学，体验一下丛小学到高考，再提出各种建议吧。? ,0.833
建议孩子生出来不要自己养，奶娘重回历史舞台或建议提高父母素质与增设父母合格证，不过关或不懂得儿童心理者不要生小孩本来家庭作业是一个辅助家长去帮助孩子养成良好学习习惯的一个东西，家长自己都不想关心，把孩子当成皮球踢来踢去，真绝? ,0.833
我今天真的也好想说一下这个。我弟弟小学一年级，他的语文老师，用钉钉布置作业，先且不论作业到底是家长的事还是老师的事还是学生的事，她能在小学一年用起钉钉，怎么用呢？拍视频小孩每天都有钉钉作业，麻烦家长拍视频传送到钉钉上。拿我父母举例，一天天上班都是996，加班加到九点多十点多是常事，倘若是我的大学正常开学，到底谁来给我弟拍这个视频？我的年迈爷爷奶奶吗？再说今天发生的事情，我的弟弟在小学一年级忘记带了课本，在我印象里他是第一次，好，这位老师就打电话，给已经上班了的我父母，要求在这个下雨天，必须，把书送过去。谁去送？我年迈的爷爷在下雨天送书过去，他才刚坐下来想吃口早餐。最后责怪家长，说用这种方式惩罚家长督促孩子收拾好书包。就一次，就一天，为什么这位老师能如此不体谅，如此偏激？钉钉的发展到底是为了企业，团队还是为了学校？今天真的是让我觉得，小学老师，我给比个大拇指。我直接服气。如此，到底，作业问题，该怎么办？收起全文d ,0.833
还让不让初高中老师活了？工资根本没有什么和公务员工资拉齐！只有变着法的压榨老师！我们这边公务员8点多9点上班，5点下班，中学老师们呢，7点就到岗了，晚上早的六七点下班，晚的八九点下班！? ,0.833
脑残还是智障？那这还叫家庭作业吗？留校谁看？老师吗？老师自己没有家庭没有孩子没有生活吗？出现安全问题谁负责？你还不如全部学生寄宿算了？更坚强负担，或者孩子从上学开始到大学你寄养在学校吧什么阴间建议? ,0.833
明白了。看到最后，只有一个角色是最惨了——————老师布置作业，赖老师。完成不了作业，赖老师。不布置作业，赖老师。作业没写完惩罚了，赖老师。? ,0.833
现在减负，公立学校3点多放学，结果学校增加延时课，每个月交钱。学校不延时主课可能讲不完，双职工家庭小孩没人管，大家都没办法只有上延时课。教育局做个人吧！? ,0.833
中国的教育乱七八糟的根本原因，就是一堆的外行各个对内行指手画脚，一堆的行政领导对一线老师指手画脚！? ,0.833
为什么这么多人都喜欢假定前提然后给人家举报者“定罪”满足自己的“正义感”？凭什么确定举报人一定是先看题再复试再举报？ ?,0.833
 如果没有考生在群里问复试题目是什么，考高分的考生会“泄题”？ 我考的高，我膨胀？我要让更多人超越我？ 线上复试本身不确定因素很大，理应想到会有“泄题”的可能，那么题目就应该是随机抽取，就可以很大程度上规避“泄题”。再说，因为所谓“泄题”复试0分，是不是有点太没有人情味了？  收起全文d,0.833
如果是面试其他题的人泄露的这边的题，那才恐怖呢 ?,0.833
这是在干什么？谁请的水军吗 ?,0.833
明明就是别人一问，顺嘴一说的事，被有心人抓住了，太ex了这个世界还有别扣法学生帽子(说什么法学生连这点规则都不懂)，说的全国各专业考研复试题不讨论交流一样真的不只有人大，我看见一些法硕机构，把复试过的同学问题，然后再发朋友圈只能说人大这些人碰到举报者是真的惨还有以后考研，别一天天求资源，我不想让你考得好，我就不发给你资源，怎么样？？以后这样也可以哈？ 收起全文d,0.833
那些乱七八糟的爱屁屁还不气死 ?,0.833
这也太giao了吧！最绝的是那个猫着窥屏，看完分享，然后等着30多个人都进网，一锅端的人，绝绝子绝绝子?代入感太强了，已经开始生气了? ?,0.833
考研人何苦为难考研人呢还有，人大真的不能再举行一次复试么三战四战那俩415分的同学也太惨了叭 ?,0.833
“法无情而法律人有情”，如果法律人只懂得为利所驱，那才是真的可怕 ?,0.812
 举报的人也太狗了吧？？！而且是群内人举报，看完题目后再把人给举报了？！真棒 ?,0.812
真得不要在形式主义了。脱裤子放屁。美其名曰疫情防控。只防学生 ?,0.812
这个举报的人最阴险，自己看完了反手给其他人一个举报，你还不能给他0分 ?,0.812
违反规则有什么好说的。泄题对已经考过的人不也很不公平。无语。人大背nm锅。脑残玩意儿fuck you like a pig。 ?,0.812
 这样的人这样的手段被录取 以后成为中国的法官检察官和律师，真是可悲 ?,0.812
卧槽我心梗了，看完反手举报这是什么贱人啊 ?,0.812
这事应该怨谁?责任应归谁?主招流程不严，不能都怪学生。30余名0分学生以外的人藏了题的就逍遥了。举报人是否也看了题?怎么感觉是一笔糊涂账? ?,0.812
 站着说话不腰疼的老啥b们 没考过研也要逼逼赖赖几句是吧 ?,0.812
有些圣母就别装理中客了，西外学生是单纯因为解封这个事情反抗的吗？难道不是因为商店售卖发霉食物，物价疯涨，快递泡水，保安打人，一忍再忍忍不了了才开始反抗的吗你搞个女保安过来是想杀鸡儆猴?可学生是活生生的人，想出这种办法的校领导，你杀的?是你死去的妈，你敬的?是你不计其数的野爹 收起全文d,0.809
？看了之后，我觉得举报的人更阔怕耶，而且咋觉得举报的人很可能是为了踢走对手啊。这样的人要是当了律师或者是进了法院 ?,0.809
口区了，看完人家分享的题目，你给人家举报了？是觉得自己复试无望然后共沉沦？ ?,0.804
为什么鸡和兔要装在同一个笼子里？为什么游泳池要边放水边注水？为什么一只狗要在两个人之间跑来跑去？iPad ?,0.804
不是我杠精真不懂布置那么一堆作业还要求校内完成?教师没孩子没家闲求没事?代表分身看孩子?胡整能不能切身实际的为全体人民谋福利提点有用的意见尽搁着胡扯蛋? ,0.8
一个校长，代表成千上万的教师群体去提案，多好的机会，可以反应当前教师工作的难度和不容易，结果呢？这是什么提案？学生作业在校内完成？一天就那么些时间，每学期都有教学任务，每四十分钟一堂课有时又讲又练的都不够用，你还让学生在校内完成作业？什么时候完成？中午？还是放学后？还是鼓励老师们占用其他科任课时间？你是代表啊，你做提案时能不能用点脑子？别的不说，就说你这中学一天8门课，每门都要考试，你要学生8门课的作业都在学校完成？？好的，你既然建议，希望先从你们学校做起，看看你们学校的中高考成绩，再来这里“扯淡”收起全文d ,0.8
这些人都是包藏祸心，穷人家的孩子放羊，富人家的孩子补课，补习班赚翻天，跟美国一个模式，这样穷人越穷，富人越富。草泥马，还是中学校长。? ,0.8
这提议把我整笑了又想减负，又想要成绩又想给老师增负，又给老师那么点工资你咋不上天呢？想的那么美？提不出来东西就别提了所以老师都没有家老师干脆天天睡学校得了?? ,0.8
今年的代表咋都说点奇奇怪怪的屁话啊……无语? ,0.8
所谓的“家校合作”从来只有“校”没有“家”，就一味地惯着学生和家长吧！教师的身心健康怎么就没人关心关注？呵呵呵呵呵呵呵。? ,0.8
笑死，高中生直接不用回家了呗，什么狗屁建议，真的是该提建议的不提，妈的不该提的提一堆? ,0.8
这是干啥呢，养一群废物家长，学习不闻不问，现在全包给老师？这教育越来越看不懂了? ,0.8
净说些不着边际的，教育搞成这样是根深蒂固的问题，作业在哪里完成都一样，改变不了什么。无非又想压榨老师。? ,0.8
闭嘴吧一下课恨不得立马跑出去拿啥时间给他们做用下课或者其他体活课又得说不让学生运动他们又不是神仙每分每秒都能粘在板凳上给你写作业如果你能让孩子做到每分每秒都写作业而不是拿了本本子在那坐着发呆聊天那老师布置的作业也不致于让你带回家才能做完本来上课时间就不够上完一节课的基本知识基本也没啥时间了可别bbll了吧啥都想要建议回家睡觉收起全文d ,0.8
